Область,Тергромада,Програма,Тематика,Кількість начань
Миколаївська,Веснянська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Миколаївська,Веснянська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Миколаївська,Нечаянська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Миколаївська,Нечаянська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Миколаївська,Радсадівська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Миколаївська,Степівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Миколаївська,Степівська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Миколаївська,Новобузька,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Миколаївська,Новобузька,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Миколаївська,Новобузька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Миколаївська,Вільнозапорізька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Миколаївська,Вільнозапорізька,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Миколаївська,Вільнозапорізька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Миколаївська,Софіївська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Миколаївська,Софіївська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Миколаївська,Софіївська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Миколаївська,Софіївська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Миколаївська,Софіївська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Миколаївська,Новоодеська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Миколаївська,Новоодеська,Проєкт ПРООН «Громадянське суспільство задля розвитку демократії та прав людини в Україні»,Навчання загального управлінського характеру,1
Миколаївська,Новоодеська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Миколаївська,Костянтинівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Миколаївська,Костянтинівська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Миколаївська,Сухоєланецька,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Миколаївська,Сухоєланецька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Миколаївська,Куцурубська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Миколаївська,Куцурубська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Миколаївська,Чорноморська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Миколаївська,Чорноморська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Миколаївська,Кам’яномостівська,Програма «Децентралізація приносить кращі результати та ефективність» (DOBRE),Навчання загального управлінського характеру,3
Миколаївська,Кам’яномостівська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Миколаївська,Кам’яномостівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Миколаївська,Кам’яномостівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Миколаївська,Мигіївська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Миколаївська,Мигіївська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Миколаївська,Синюхинобрідська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Миколаївська,Синюхинобрідська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Миколаївська,Синюхинобрідська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Миколаївська,Снігурівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Миколаївська,Снігурівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Миколаївська,Снігурівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Миколаївська,Горохівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Миколаївська,Горохівська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Миколаївська,Широківська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Миколаївська,Широківська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Миколаївська,Широківська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Одеська,Одеська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Одеська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Балтська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Балтська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Одеська,Білгород-Дністровська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Білгород-Дністровська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Одеська,Сергіївська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Біляївська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Одеська,Біляївська,"Програма ""U-LEAD з Європою""",Громада з нуля,8
Одеська,Ізмаїльська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Чорноморська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Чорноморська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Чорноморська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Одеська,Чорноморська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Одеська,Подільська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Подільська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Теплодарська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Южненська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Южненська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Одеська,Ананьївська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Одеська,Долинська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Долинська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Одеська,Арцизька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Арцизька,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Одеська,Теплицька,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Одеська,Теплицька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Одеська,Піщанська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Одеська,Маразліївська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Маразліївська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Одеська,Мологівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Старокозацька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Старокозацька,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Одеська,Старокозацька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Одеська,Шабівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Шабівська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Одеська,Великодальницька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Вигодянська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Вигодянська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Вигодянська,"Програма ""U-LEAD з Європою""",Громада з нуля,10
Одеська,Вигодянська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,2
Одеська,Дачненська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Дачненська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Одеська,Маяківська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Одеська,Маяківська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Одеська,Нерубайська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Усатівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Усатівська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Одеська,Яськівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Яськівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Одеська,Яськівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Березівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Березівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Березівська,"Програма ""U-LEAD з Європою""",Громада з нуля,11
Одеська,Березівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Одеська,Раухівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Раухівська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Одеська,Розквітівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Розквітівська,"Програма ""U-LEAD з Європою""",Громада з нуля,9
Одеська,Розквітівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Розквітівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Одеська,Новокальчевська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Новокальчевська,"Програма ""U-LEAD з Європою""",Громада з нуля,8
Одеська,Новокальчевська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,3
Одеська,Болградська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Василівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Городненська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Городненська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Одеська,Городненська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Криничненська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Одеська,Кубейська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Кубейська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Кубейська,"Програма ""U-LEAD з Європою""",Громада з нуля,8
Одеська,Великомихайлівська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Одеська,Великомихайлівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Одеська,Цебриківська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Цебриківська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Одеська,Великоплосківська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Великоплосківська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Одеська,Новоборисівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Новоборисівська,"Програма ""U-LEAD з Європою""",Громада з нуля,12
Одеська,Новоборисівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Одеська,Новоборисівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Іванівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Іванівська,"Програма ""U-LEAD з Європою""",Громада з нуля,7
Одеська,Великобуялицька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Великобуялицька,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Одеська,Коноплянська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Коноплянська,"Програма ""U-LEAD з Європою""",Громада з нуля,13
Одеська,Коноплянська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Одеська,Коноплянська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Знам’янська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Знам’янська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Одеська,Знам’янська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Одеська,Суворовська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Саф’янівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Саф’янівська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Одеська,Саф’янівська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Одеська,Кілійська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Кілійська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Кілійська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Одеська,Кілійська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Одеська,Вилківська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Вилківська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Одеська,Кодимська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Кодимська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Одеська,Слобідська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Слобідська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Слобідська,"Програма ""U-LEAD з Європою""",Громада з нуля,10
Одеська,Слобідська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Одеська,Доброславська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Доброславська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Одеська,Визирська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Визирська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Одеська,Визирська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Красносільська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Красносільська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Одеська,Красносільська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Одеська,Курісовська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Фонтанська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Фонтанська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Фонтанська,"Програма ""U-LEAD з Європою""",Громада з нуля,10
Одеська,Куяльницька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Куяльницька,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Одеська,Куяльницька,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Окнянська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Окнянська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Одеська,Окнянська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Одеська,Окнянська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Любашівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Зеленогірська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Зеленогірська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Миколаївська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Миколаївська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Одеська,Андрієво-Іванівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Андрієво-Іванівська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Одеська,Стрюківська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Одеська,Стрюківська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Одеська,Овідіопольська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Одеська,Овідіопольська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Одеська,Авангардівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Авангардівська,"Програма ""U-LEAD з Європою""",Громада з нуля,6
Одеська,Авангардівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,4
Одеська,Великодолинська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Великодолинська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Одеська,Великодолинська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Таїровська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Таїровська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Одеська,Таїровська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Таїровська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Одеська,Дальницька,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Дальницька,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Одеська,Кароліно-Бугазька,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Одеська,Роздільнянська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Роздільнянська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Роздільнянська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Одеська,Лиманська,"Програма ""U-LEAD з Європою""",Громада з нуля,8
Одеська,Степанівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Степанівська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Одеська,Ренійська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Ренійська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,2
Одеська,Ренійська,"Програма ""U-LEAD з Європою""",Громада з нуля,15
Одеська,Ренійська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Одеська,Савранська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Савранська,"Програма ""U-LEAD з Європою""",Громада з нуля,3
Одеська,Саратська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Саратська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Одеська,Кулевчанська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Кулевчанська,"Програма ""U-LEAD з Європою""",Громада з нуля,5
Одеська,Кулевчанська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Одеська,Петропавлівська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Одеська,Петропавлівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Петропавлівська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Одеська,Плахтіївська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Плахтіївська,"Програма ""U-LEAD з Європою""",Громада з нуля,1
Одеська,Успенівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Тарутинська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Тарутинська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Одеська,Татарбунарська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Татарбунарська,EGOV4UKRAINE,Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Татарбунарська,"Програма ""U-LEAD з Європою""",Громада з нуля,4
Одеська,Татарбунарська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Татарбунарська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,1
Одеська,Лиманська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Лиманська,"Програма ""U-LEAD з Європою""",Навчання загального управлінського характеру,3
Одеська,Лиманська,"Програма ""U-LEAD з Європою""",Навчання з надання послуг і управління інфраструктурою на місцевому рівні,1
Одеська,Тузлівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Тузлівська,"Програма ""U-LEAD з Європою""",Громада з нуля,9
Одеська,Захарівська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Одеська,Затишанська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Затишанська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Одеська,Ширяївська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Петровірівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Чогодарівська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
Одеська,Чогодарівська,"Програма ""U-LEAD з Європою""",Громада з нуля,2
Полтавська,Полтавська,Швейцарсько-український проєкт «Децентралізація для розвитку демократичної освіти» - DECIDE,Громада з нуля,2
